coursecode	section_id	searchable_id1	searchable_id2	searchable_id3	reading_list_code	readin_list_name	reading_list_descripotion	reading_list_subject	reading_list_status	RLStatus	visibility	reading_list_assigned_to	reading_list_library_note	reading_list_instructor_note	owner_user_name	creativecomone	section_name	section_description	section_start_date	section_end_date	section_tags	citation_secondary_type	citation_status	citation_tags	citation_mms_id	citation_original_system_id	citation_title	citation_journal_title	citation_author	citation_publication_date	citation_edition	citation_isbn	citation_issn	citation_place_of_publication	citation_publisher	citation_volume	citation_issue	citation_pages	citation_start_page	citation_end_page	citation_doi	citation_oclc	citation_lccn	citation_chapter	rlterms_chapter_title	citation_chapter_author	editor	citation_source	citation_source1	citation_source2	citation_source3	citation_source4	citation_source5	citation_source6	citation_source7	citation_source8	citation_source9	citation_source10	citation_note	additional_person_name	file_name	citation_public_note	license_type	citation_instructor_note	citation_library_note	external_system_id
2238-84418	10				Fa23-WGSS-0085-10-Topics in WGSS	Fa23-WGSS-0085-10-Topics in WGSS			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025576403851		"""Tacit subjects : belonging and same-sex desire among Dominican immigrant men /"""					9780822349457																																		
2238-83749	01				Fa23-ANTH-0168-01-Anthropology of Colonialism	Fa23-ANTH-0168-01-Anthropology of Colonialism			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025577903851		"""Queer Palestine and the empire of critique /"""					9781503612396																																		
2238-84459	04				Fa23-RCD-0194-04-Special Topics	Fa23-RCD-0194-04-Special Topics			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025577903851		"""Queer Palestine and the empire of critique /"""					9781503612396																																		
2238-81693	01				Fa23-BIO-0012-01-Evolution In Our World	Fa23-BIO-0012-01-Evolution In Our World			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575603851		"""The readable Darwin : the origin of species edited for modern readers /"""					9780197575260																																		
2238-80327	01				Fa23-CEE-0101-01-The Energy Transition	Fa23-CEE-0101-01-The Energy Transition			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022778003851		"""The affluent society /"""					9780395925003																																		
2238-83739	01				Fa23-CH-0130-01-App Qual Research Methods	Fa23-CH-0130-01-App Qual Research Methods			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022776503851		"""Qualitative research : a guide to design and implementation /"""					9781119003618																																		
2238-81165	01				Fa23-CLS-0031-01-Invitation Ancient Greek Lit	Fa23-CLS-0031-01-Invitation Ancient Greek Lit			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025573203851		"""Aristophanes' The birds /"""					9780941051873																																		
2238-81165	01				Fa23-CLS-0031-01-Invitation Ancient Greek Lit	Fa23-CLS-0031-01-Invitation Ancient Greek Lit			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025573303851		"""Lysistrata /"""					9780941051026																																		
2238-81813	01				Fa23-CLS-0039-01-Byzantine World	Fa23-CLS-0039-01-Byzantine World			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025574603851		"""Byzantine art /"""					9780198778790																																		
2238-83864	01				Fa23-HIST-0058-01-Byzantine World	Fa23-HIST-0058-01-Byzantine World			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025574603851		"""Byzantine art /"""					9780198778790																																		
2238-83679	01				Fa23-CLS-0056-01-Greek And Roman Comedy	Fa23-CLS-0056-01-Greek And Roman Comedy			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022779303851		"""The comedies /"""					9780199556038																																		
2238-84747	01				Fa23-TPS-0029-01-Greek & Roman Comedy	Fa23-TPS-0029-01-Greek & Roman Comedy			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022779303851		"""The comedies /"""					9780199556038																																		
2238-84125	01				Fa23-CLS-0151-01-Ancient Philosophy	Fa23-CLS-0151-01-Ancient Philosophy			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022775903851		"""Hellenistic philosophy : introductory readings /"""					9780872203785																																		
2238-84125	01				Fa23-CLS-0151-01-Ancient Philosophy	Fa23-CLS-0151-01-Ancient Philosophy			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022775903851		"""Hellenistic philosophy : introductory readings /"""					9780872203785																																		
2238-80073	01				Fa23-PHIL-0151-01-Ancient Philosophy	Fa23-PHIL-0151-01-Ancient Philosophy			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022775903851		"""Hellenistic philosophy : introductory readings /"""					9780872203785																																		
2238-80073	01				Fa23-PHIL-0151-01-Ancient Philosophy	Fa23-PHIL-0151-01-Ancient Philosophy			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022775903851		"""Hellenistic philosophy : introductory readings /"""					9780872203785																																		
2238-84125	01				Fa23-CLS-0151-01-Ancient Philosophy	Fa23-CLS-0151-01-Ancient Philosophy			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022775703851		"""Republic /"""					9780872201361																																		
2238-80073	01				Fa23-PHIL-0151-01-Ancient Philosophy	Fa23-PHIL-0151-01-Ancient Philosophy			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022775703851		"""Republic /"""					9780872201361																																		
2238-80792	01				Fa23-CSHD-0191-01-Dev Psychopathology&adap	Fa23-CSHD-0191-01-Dev Psychopathology&adap			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022778903851		"""Child and adolescent psychopathology : a casebook /"""					9781071822814																																		
2238-83790	01				Fa23-DEIJ-0247-01-Diversity&Inclusion Leadership	Fa23-DEIJ-0247-01-Diversity&Inclusion Leadership			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022776903851		"""Strategic diversity leadership : activating change and transformation in higher education /"""					9781579228194																																		
2238-80858	01				Fa23-EC-0127-01-Urban Economics	Fa23-EC-0127-01-Urban Economics			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025573903851		"""Lectures on urban economics /"""					9780262016360																																		
2238-81189	01				Fa23-ED-0110-01-Hist & Soc St Curricula	Fa23-ED-0110-01-Hist & Soc St Curricula			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025574803851		"""Bringing history home : a classroom teacher's quest to make the past matter /"""					9781475846645																																		
2238-80891	03				Fa23-ENG-0002-03-Freshman Writing Seminar	Fa23-ENG-0002-03-Freshman Writing Seminar			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022777203851		"""Working : people talk about what they do all day and how they feel about what they do /"""					9781565843424																																		
