coursecode	section_id	searchable_id1	searchable_id2	searchable_id3	reading_list_code	readin_list_name	reading_list_descripotion	reading_list_subject	reading_list_status	RLStatus	visibility	reading_list_assigned_to	reading_list_library_note	reading_list_instructor_note	owner_user_name	creativecomone	section_name	section_description	section_start_date	section_end_date	section_tags	citation_secondary_type	citation_status	citation_tags	citation_mms_id	citation_original_system_id	citation_title	citation_journal_title	citation_author	citation_publication_date	citation_edition	citation_isbn	citation_issn	citation_place_of_publication	citation_publisher	citation_volume	citation_issue	citation_pages	citation_start_page	citation_end_page	citation_doi	citation_oclc	citation_lccn	citation_chapter	rlterms_chapter_title	citation_chapter_author	editor	citation_source	citation_source1	citation_source2	citation_source3	citation_source4	citation_source5	citation_source6	citation_source7	citation_source8	citation_source9	citation_source10	citation_note	additional_person_name	file_name	citation_public_note	license_type	citation_instructor_note	citation_library_note	external_system_id
2238-83764	01				Fa23-REL-0053-01-Asian Religions	Fa23-REL-0053-01-Asian Religions			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022777703851		"""Sayings of the Buddha : a selection of suttas from the Pali Nikåayas /"""					9780192839251																																		
2238-83764	01				Fa23-REL-0053-01-Asian Religions	Fa23-REL-0053-01-Asian Religions			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575503851		"""Virtual orientalism : Asian religions and American popular culture /"""					9780199738618																																		
2238-83764	01				Fa23-REL-0053-01-Asian Religions	Fa23-REL-0053-01-Asian Religions			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022778603851		"""The heart of the universe : exploring the Heart Sutra /"""					9780861715749																																		
2238-83765	01				Fa23-REL-0062-01-Jesus from 1st to 21st Cent.	Fa23-REL-0062-01-Jesus from 1st to 21st Cent.			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025574303851		"""From Jesus to Christ : the origins of the New Testament images of Jesus /"""					9780300084573																																		
2238-84128	01				Fa23-REL-0162-01-Jesus from 1st to 21st Cent.	Fa23-REL-0162-01-Jesus from 1st to 21st Cent.			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025574303851		"""From Jesus to Christ : the origins of the New Testament images of Jesus /"""					9780300084573																																		
2238-83284	01				Fa23-SOC-0188-01-Seminar In Current Soc	Fa23-SOC-0188-01-Seminar In Current Soc			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025577103851		"""The Republican reversal : conservatives and the environment from Nixon to Trump /"""					9780674979970																																		
2238-83284	01				Fa23-SOC-0188-01-Seminar In Current Soc	Fa23-SOC-0188-01-Seminar In Current Soc			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022777103851		"""Climate obstruction : how denial delay and inaction are heating the planet /"""					9781032019475																																		
2238-81069	RA				Fa23-SPN-0021-RA-Comp/Conv I	Fa23-SPN-0021-RA-Comp/Conv I			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-81068	B				Fa23-SPN-0021-B-Comp/Conv I	Fa23-SPN-0021-B-Comp/Conv I			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-81064	D				Fa23-SPN-0021-D-Comp/Conv I	Fa23-SPN-0021-D-Comp/Conv I			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-81064	D				Fa23-SPN-0021-D-Comp/Conv I	Fa23-SPN-0021-D-Comp/Conv I			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-81073	RE				Fa23-SPN-0021-RE-Comp/Conv I	Fa23-SPN-0021-RE-Comp/Conv I			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-81066	F				Fa23-SPN-0021-F-Comp/Conv I	Fa23-SPN-0021-F-Comp/Conv I			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-81070	RG				Fa23-SPN-0021-RG-Comp/Conv I	Fa23-SPN-0021-RG-Comp/Conv I			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-81067	RH				Fa23-SPN-0021-RH-Comp/Conv I	Fa23-SPN-0021-RH-Comp/Conv I			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-83519	J				Fa23-SPN-0021-J-Comp/Conv I	Fa23-SPN-0021-J-Comp/Conv I			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-81079	A				Fa23-SPN-0022-A-Comp/Conv II	Fa23-SPN-0022-A-Comp/Conv II			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-81080	RB				Fa23-SPN-0022-RB-Comp/Conv II	Fa23-SPN-0022-RB-Comp/Conv II			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-81079	A				Fa23-SPN-0022-A-Comp/Conv II	Fa23-SPN-0022-A-Comp/Conv II			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-81105	XA				Fa23-SPN-0022-XA-Comp/Conv II	Fa23-SPN-0022-XA-Comp/Conv II			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
"Error finding course{""total_record_count"": 0}"	"Error finding course{""total_record_count"": 0}"				"Error finding course{""total_record_count"": 0}"	"Error finding course{""total_record_count"": 0}"			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-81666	XC				Fa23-SPN-0022-XC-Comp/Conv II	Fa23-SPN-0022-XC-Comp/Conv II			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-81090	XD				Fa23-SPN-0022-XD-Comp/Conv II	Fa23-SPN-0022-XD-Comp/Conv II			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-83520	XE				Fa23-SPN-0022-XE-Comp/Conv II	Fa23-SPN-0022-XE-Comp/Conv II			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452396																																		
2238-83520	XE				Fa23-SPN-0022-XE-Comp/Conv II	Fa23-SPN-0022-XE-Comp/Conv II			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575103851		"""The ultimate Spanish review and practice /"""					9781260452402																																		
2238-81762	01				Fa23-TPS-0057-01-Voice/Speech-Confid Expression	Fa23-TPS-0057-01-Voice/Speech-Confid Expression			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025575203851		"""This is the voice /"""					9781982128753																																		
2238-81560	01				Fa23-UEP-0250-01-Foundations Of Publ Pol	Fa23-UEP-0250-01-Foundations Of Publ Pol			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019033982403851		"""Sacred civics : building seven generation cities /"""					9781032059112																																		
2238-81560	01				Fa23-UEP-0250-01-Foundations Of Publ Pol	Fa23-UEP-0250-01-Foundations Of Publ Pol			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019022777003851		"""Reflective planning practice : theory cases and methods /"""					9780367258689																																		
2238-83771	07				Fa23-UEP-0293-07-Special Topics	Fa23-UEP-0293-07-Special Topics			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025576303851		"""Reclaiming the discarded : life and labor on Rio's garbage dump /"""					9780822370505																																		
2238-83771	07				Fa23-UEP-0293-07-Special Topics	Fa23-UEP-0293-07-Special Topics			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025576803851		"""Shapeshifters : Black girls and the choreography of citizenship /"""					9780822359319																																		
2238-83773	26				Fa23-UEP-0294-26-Special Topics	Fa23-UEP-0294-26-Special Topics			ReadyForProcessing								Resources					TEXT_RESOURCE	ReadyForProcessing		991019025577503851		"""Endangered city : the politics of security and risk in Bogotá /"""					9780822361626																																		
